match_id,competition,season,kickoff_at,home_team,away_team,home_goals,away_goals,home_xg,away_xg,home_elo,away_elo
h001,Pilot Lig,2025-26,1756684800,Takım A,Takım B,2,1,1.8,1.0,1560,1505
h002,Pilot Lig,2025-26,1757290000,Takım C,Takım D,1,1,1.2,1.1,1510,1500
h003,Pilot Lig,2025-26,1757894400,Takım B,Takım C,0,2,0.8,1.6,1495,1530
h004,Pilot Lig,2025-26,1758499200,Takım D,Takım A,1,3,1.0,2.2,1480,1580
h005,Pilot Lig,2025-26,1759104000,Takım A,Takım C,2,0,1.9,0.7,1585,1525
h006,Pilot Lig,2025-26,1759708800,Takım B,Takım D,1,0,1.3,0.9,1500,1485
h007,Pilot Lig,2025-26,1760313600,Takım C,Takım A,1,2,1.1,1.7,1535,1590
h008,Pilot Lig,2025-26,1760918400,Takım D,Takım B,2,2,1.5,1.4,1490,1505
h009,Pilot Lig,2025-26,1761523200,Takım A,Takım D,3,1,2.3,0.9,1595,1490
h010,Pilot Lig,2025-26,1762128000,Takım C,Takım B,2,1,1.7,1.0,1540,1500
h011,Pilot Lig,2025-26,1762732800,Takım B,Takım A,1,2,1.0,1.8,1502,1600
h012,Pilot Lig,2025-26,1763337600,Takım D,Takım C,0,1,0.8,1.2,1492,1545
h013,Pilot Lig,2025-26,1763942400,Takım A,Takım B,1,1,1.6,1.1,1602,1504
h014,Pilot Lig,2025-26,1764547200,Takım C,Takım D,3,0,2.1,0.7,1550,1490
h015,Pilot Lig,2025-26,1765152000,Takım B,Takım C,0,0,0.9,1.0,1500,1552
h016,Pilot Lig,2025-26,1765756800,Takım D,Takım A,1,2,1.0,1.9,1488,1605
h017,Pilot Lig,2025-26,1776038400,Takım F,Takım B,1,0,1.4,1.0,1531,1534
h018,Pilot Lig,2025-26,1776643200,Takım A,Takım C,2,1,1.6,1.2,1534,1536
h019,Pilot Lig,2025-26,1777248000,Takım B,Takım D,3,2,1.8,1.4,1537,1538
h020,Pilot Lig,2025-26,1777852800,Takım C,Takım E,0,0,1.0,0.8,1540,1540
h021,Pilot Lig,2025-26,1778457600,Takım D,Takım F,1,1,1.2,1.0,1543,1542
h022,Pilot Lig,2025-26,1779062400,Takım E,Takım A,2,2,1.4,1.2,1546,1544
h023,Pilot Lig,2025-26,1779667200,Takım F,Takım B,3,0,1.6,1.4,1549,1546
h024,Pilot Lig,2025-26,1780272000,Takım A,Takım C,0,1,1.8,0.8,1552,1548
h025,Pilot Lig,2025-26,1780876800,Takım B,Takım D,1,2,1.0,1.0,1555,1550
h026,Pilot Lig,2025-26,1781481600,Takım C,Takım E,2,0,1.2,1.2,1558,1552
h027,Pilot Lig,2025-26,1782086400,Takım D,Takım F,3,1,1.4,1.4,1561,1554
h028,Pilot Lig,2025-26,1782691200,Takım E,Takım A,0,2,1.6,0.8,1564,1556
h029,Pilot Lig,2025-26,1783296000,Takım F,Takım B,1,0,1.8,1.0,1567,1558
h030,Pilot Lig,2025-26,1783900800,Takım A,Takım C,2,1,1.0,1.2,1570,1560
h031,Pilot Lig,2025-26,1784505600,Takım B,Takım D,3,2,1.2,1.4,1573,1562
h032,Pilot Lig,2025-26,1785110400,Takım C,Takım E,0,0,1.4,0.8,1576,1564
h033,Pilot Lig,2025-26,1785715200,Takım D,Takım F,1,1,1.6,1.0,1579,1566
h034,Pilot Lig,2025-26,1786320000,Takım E,Takım A,2,2,1.8,1.2,1582,1568
h035,Pilot Lig,2025-26,1786924800,Takım F,Takım B,3,0,1.0,1.4,1585,1570
h036,Pilot Lig,2025-26,1787529600,Takım A,Takım C,0,1,1.2,0.8,1588,1572
h037,Pilot Lig,2025-26,1788134400,Takım B,Takım D,1,2,1.4,1.0,1591,1574
h038,Pilot Lig,2025-26,1788739200,Takım C,Takım E,2,0,1.6,1.2,1594,1576
h039,Pilot Lig,2025-26,1789344000,Takım D,Takım F,3,1,1.8,1.4,1597,1578
h040,Pilot Lig,2025-26,1789948800,Takım E,Takım A,0,2,1.0,0.8,1600,1580
